780	1	8.456844	3.588066
786	1	9.125530	3.658583
792	1	9.787146	3.849445
798	1	10.472197	3.955450
804	1	11.066000	4.061280
804	2	13.017548	5.782591
810	1	11.731818	4.320563
810	2	12.087770	5.751949
816	1	12.381302	4.496793
816	2	11.746306	5.729815
822	2	11.175158	5.836247
828	2	10.434290	5.873203
834	2	10.050254	6.171487
834	3	12.270674	6.668422
840	2	9.571296	6.237355
840	3	11.936317	6.766636
846	2	9.084074	6.263836
846	3	11.448074	6.914408
846	4	-1.711410	5.125959
846	5	-1.886113	4.379495
846	6	12.162877	5.748245
852	2	8.552751	6.374027
852	3	10.825832	6.798273
852	4	-1.118991	5.106053
852	5	-1.282008	4.458177
852	6	11.674685	5.850327
858	2	8.097887	6.481037
858	3	10.394153	6.786098
858	4	-0.534957	5.086429
858	5	-0.694648	4.443082
858	6	11.101028	5.918570
864	2	7.635367	6.548341
864	3	9.840921	6.860584
864	4	0.089118	5.019640
864	5	-0.078294	4.242871
864	6	10.514675	5.908839
870	2	7.167091	6.616482
870	3	9.356473	6.851171
870	4	0.758581	4.997522
870	5	0.595343	4.227083
870	6	9.998177	5.894957
876	2	6.734173	6.641461
876	3	8.945379	6.796338
876	4	1.363412	4.932427
876	5	1.203885	4.167425
876	6	9.439014	6.003333
882	2	6.342620	6.705885
882	3	8.410886	6.869870
882	4	1.959387	4.868285
882	5	1.803478	4.108644
882	6	8.908538	6.030387
888	2	5.991468	6.768360
888	3	7.948630	6.857735
888	4	2.598689	4.847885
888	5	2.446643	4.094298
888	6	8.409844	6.015008
894	2	5.597370	6.918186
894	3	7.435487	6.807009
894	4	3.224743	4.783821
894	5	3.124691	4.034843
894	6	7.866093	6.083552
900	2	5.239467	6.982228
900	3	6.962746	6.835603
900	4	3.796711	4.765892
900	5	3.699336	4.022351
900	6	7.400078	6.148686
906	2	5.015103	7.038432
906	3	6.578542	6.983756
906	4	4.543666	4.699124
906	5	4.315250	4.052619
906	6	6.836745	6.136049
912	2	4.797592	7.222242
912	3	6.139154	7.011066
912	4	5.188023	4.679289
912	5	4.964640	4.038135
912	6	6.355268	6.160604
918	2	4.544044	7.579865
918	3	5.741793	7.077846
918	4	5.779292	4.703744
918	5	5.560507	4.067785
918	6	5.870039	6.227573
924	2	4.451879	7.586156
